#separator:tab,
#html:true,
merkwürdig,"Etrange, connotation neutre/etonnant"
"der Park, s",le parc
"der Brunnen, -","la fontaine, le puits"
"der Gebäude, -","le bâtiment, l'édifice"
"der Turm, die Türme",la tour
"das Rathaus, die Rathäuser",l'hôtel de ville&nbsp;
bauen,construire
"der Bau, ten",la construction
"graben - gräbt, grub, hat gegraben","creuser, fouiller (le sol)"
"der Stein, e","la pierre, le caillou"
"die Gegend, en",la région
"die Umgebung, /",les environs
"die Landschaft, en",le paysage
"die Natur, en",la nature&nbsp;
"die Umwelt, /",l'environnement
"das Land, /","la campagne, la terre"
"das Dorf, die Dörfer",le village
"der Bauer, n, n / die Bäuerin<br>der Landwirt, e / die -in","le paysan, l'agriculteur"
"das Feld, er",le champ
"die Erde, /","la terre, le sol"
"die Wiese, n",la prairie
eben (un-),"plat, plane&nbsp;"
"der Wald, die Wälder",la forêt
dicht (un-),1. dense 2. imperméable (perméable)
"der Berg, e",la montagne
"der Gipfel, -",le sommet
"die Spitze, n",la pointe
"die Aussicht, en (auf+A)","1. la vue, le panorama&nbsp;<br>2. La chance, la perspective"
"das Tal, die Täler",la vallée
"fließen - fließt, floss, ist geflossen","couler, s'écouler"
"die Quelle, n",la source
"der Bach, die Bächer",le ruisseau
"der Fluss, die Flüsse","la rivière, le fleuve"
"die Brücke, n",le pont
"das Ufer, -","la rive, le bord (d'un lac, rivière, fleuve)"
"der Kanal, die Kanäle",le canal
"der See, n",le lac
"das Meer, e / die See, n",la mer
"das Ozean, e",l'océan
"die Welle, n",1. la vague 2. l'onde
"die Insel, n",l'île
"die Küste, n",la côte
"der Strand, die Strände&nbsp;",la plage
"der Sand, /",le sable
"die Wüste, n",le désert
"die Gasse, n","la rue, la ruelle"
"das Hochhaus, die Hochhäuser",le building
"die Baustelle, n",le chantier
"die Kabine, n",la cabine
"das Brett, er",la planche
"die Landwirtschaft, /",l'agriculture
"die Ebene, n","la plaine, le plateau"
"das Gebirge, -",le massif montagneux
"der Hügel, -",la colline
"der Felsen, -","le rocher, la falaise"
"die Düne, n",la dune
"der Abfall, die Abfälle / der Müll, /",les déchets
"der Mülleimer, -",la poubelle
pflanzen,planter
"die Pflanze, n",la plante
"die Wurzel, n",la racine
"das Blatt, die Blätter",la feuille
blühen,"fleurir, être en fleur"
"die Blume, n",la fleur
"die Rose, n",la rose
"der Baum, die Baüme",l'arbre
"der Stamm, die Stämme",1. le tronc 2. la tribu
"der Ast, die Äste",la branche
"die Tanne, n",le sapin
"das Gras, die Gräser",l'herbe
"gießen - gießt, goss, hat gegossen","verser, arroser"
"begießen - (ie), o, o",arroser
ernten,récolter
reif (un-),"mûr (immature, pas mûr)"
"die Knospe, n",le bourgeon
"die Blüte, n",la fleur (sans la tige)
"der Zweig, e",le rameau
"das Gebüsch, e","les buissons, les broussailles"
"der Rasen, -","le gazon, la pelouse"
pflücken,cueillir
"die Ernte, n",la récolte
"das Tier, e",l'animal
"die Katze, n",le chat
"der Hund, e",le chien
"das Pferd, e",le cheval
"der Esel, -",l'âne
"die Kuh, die Kühe",la vache
"das Schwein, e","le cochon, le porc"
"das Stall, die Ställe","l'écurie, l'étable"
"das Huhn, die Hühner",la poule
"der Vogel, die Vögel",l'oiseau
"die Feder, n",la plume
"das Nest, er",le nid
"die Maus, die Mäuse",la souris
"der Wolf, die Wölfe",le loup
"der Bär, en, en",l'ours
"der Affe, n, n",le singe
"der Elefant, en, en",l'éléfant
"der Löwe, n, n",le lion
"die Schlange, n",1. le serpent 2. la file (d'attente)
"der Fisch, e",le poisson
"das Insekt, en",l'insecte
"die Fliege, n",la mouche
"die Mücke, n",le moustique
"stechen -sticht, stach, hat gestochen",piquer
"fressen - frisst, frass, hat gefressen&nbsp;","manger (animaux, pas humains), dévorer"
wild,sauvage
"fangen - fängt, fing, hat gefangen",attraper
jagen,chasser
"die Jagd, en",la chasse
"die Spinne, n",l'araignée
"der Hahn, die Hähne",1. le coq 2. le robinet
"der Fuchs, die Füchse",le renard
"das Lamm, die Lämmer",l'agneau
"das Schaf, e",le mouton
"die Biene, n",l'abeille
"die Wespe, n",la guêpe
"die Schnecke, n","l'escargot, la limace"
"das Wetter, /","le temps, la météo"
"der Druck, /",1. la pression 2. l'impression (fait d'imprimer)
"die Luft, die Lüfte",l'air
"die Sonne, n",le soleil
"der Sonnenschein, /","l'ensoleillement, la lumière du soleil"
sonnig,ensoleillé
"scheinen - scheint, schien, hat geschienen / glänzen","briller, luire"
"der Schatten, -",l'ombre
"die Wolke, n",le nuage
"der Nebel, -",le brouillard
regnen (es regnet),pleuvoir (il pleut)
"der Regen, /",la pluie
"das Gewitter, -",l'orage
blitzen,faire des éclairs
"der Blitz, e","l'éclair, la foudre"
donnern,tonner
"der Donner, -",le tonnerre
schneien (es schneit),neiger (il neige)
"der Schnee, /",la neige
"blasen - bläst, blies, hat geblasen",souffler
"der Wind, e",le vent
heftig,violent
"der Sturm, die Stürme",la tempête
stürmisch,"tempétueux, orageux"
"die Temperatur, en",la température
"die Wärme, /",la chaleur
warm&nbsp;,chaud
"die Hitze, /",la (grande) chaleur
heiß,"très chaud, brûlant"
"die Kälte, /",le froid
kalt,froid
kühl,frais (température)
feucht,humide
nass,mouillé
"das Klima, s",le climat
"der Wetterbericht, e",les prévisions météo
bewölkt,nuageux
"der Regenbogen, -",l'arc-en-ciel
schwül,lourd (orageux)
"der Klimawandel, -",le changement de climat
es zieht,il y a des courants d'air
"der Fußgänger, - /die -in",le piéton
"der Zebrastreifen, -",le passage pour piétons
überqueren&nbsp;,traverser
"der Verkehr, /","la circulation, le trafic"
"das Schild, er","la plaque, l'écriteau, l'enseigne"
"das Verkehrszeichnen, -",le panneau (de signalisation routière)
"die Ampel, n",le feu (de signalisation routière)
"fahren - fährt, fuhr, ist/haben gefahren",1. (sein) aller 2. (haben) conduire
"der Fahrer, - / die -in","le conducteur, le chauffeur"
"der Führerschein, e",le permis de conduire
"ab/fahren - (ä), u, a",partir (avec un véhicule)
"die Abfahrt, en",1. le départ 2. la descente (de ski)
"weiter/fahren - (ä), u, a",poursuivre sa route
"der Autofahrer, - / die -in",l'automobiliste
"das Auto, s",l'auto
"der Wagen, - / der PKW, s",la voiture
"der Lastwagen, - / der Laster, - / der LKW, s",le camion
"das Motorrad, die Motorräder",la moto
"das Mofa, s /das Moped, s","le cyclomoteur, le vélomoteur"
"das Fahrrad, die Fahrräder","le vélo, la bicyclette"
"der Radfahrer, -",le cycliste
"das Rad, die Räder","1. la roue 2. le vélo, la bicyclette"
"der Reifen, - / der Pneu, s",le pneu
"das Steuer, -",le volant
"der Motor, en",le moteur
"der Kofferraum, die Kofferräume",le coffre
"das Benzin, /",l'essence
"der Tank, s",le réservoir
tanken,prendre de l'essence
"die Tankstelle, n",la station service
"die Batterie, n","la pile, la batterie"
"die Bremse, n",le frein
bremsen&nbsp;,freiner
Gas geben,accélérer
"an/halten - hält ein, hielt an, hat angehalten&nbsp;<br>halten<br>stoppen","s'arrêter, stopper (véhicule)"
"stehen/bleiben - bleibt stehen, blieb stehen, ist stehengeblieben",s'arrêter
parken,"parquer, stationner, garer"
"der Parkplatz, die Parkplätze","la place de parc, le parking"
"die Garage, n",le garage
"die Panne, n",la panne
"die Straßenbahn, en",le tram
"der Bus, ses, se",le bus
"die Haltestelle, n","l'arrêt (de bus, de tram...)"
"das Taxi, s",le taxi
"der Weg, e",le chemin
"ab/biegen - biegt ab, bog ab, ist abgebogen","tourner, obliquer"
"die Autobahn, en",l'autoroute
"die Kurve, n",le virage
"die Umleitung, en","&nbsp;la déviation, le détournement"
"die Vorsicht, /",la prudence
vorsichtig (un),prudent (im-)
auf/passen (auf+A),faire attention (à)
ein/holen,rattraper
überholen,dépasser
"die Gefahr, en",le danger
gefährlich (un-),dangereux
Achtung !,attention !
"der Unfall, die Unfälle&nbsp;",l'accident
zusammen/stoßen,entrer en collision
"überfahren - überfährt, überfuhr, hat überfahren",écraser (qc)
"das Fahrzeug, e",le véhicule
"die Last, en","la charge, le fardeau"
"ab/laden - (ä), u, a",décharger
"der Katalysator, en",le catalyseur
"die Werkstatt, die Werkstätten","l'atelier, le garage"
"der Umweg, e",le détour
"die Einfahrt, en",l'entrée ( pour véhicule )
"die Ausfahrt, en",la sortie (pour véhicule)
sperren,"barrer, fermer (route)"
"die Vorfahrt, /",la priorité
hupen,klaxonner
verunglücken,avoir un accident
der Verunglückte,"la victime d'un accident, l'accidenté"
"um/werfen - wirft um, warf um, hat umgeworfen",renverser
"der Stau, s","l'embouteillage, le bouchon"
"das Protokoll, e",le procès-verbal
"die Geldstrage, n",l'amende
"der Autostopp, /",l'auto-stop
"die Welt, en",le monde
"der Mond, e",la lune
"der Stern, e",l'étoile
"auf/gehen - geht auf, ging auf, ist aufgegangen (prép + D)",se lever (astres)
"unter/gehen - (e), i, a (prép + D)",se coucher (astres)
"der Himmel, -",le ciel
"der Weltraum, /",l'espace (cosmique)
"der Planet, en, en",la planète
"der Satellit, en, en",la satellite
"die Raumfahrt, /",la navigation spatiale
"das Satellitenfernsehen, /",la télévision par satellite
"die Rakete, n",la fusée
"die Eigenschaft, en","la qualité, la propriété"
"die Qualität, en",la qualité
"das Verhältnis, ses, se","1. le rapport, la proportion&nbsp;<br>2. la relation, la liaison"
was für (ein),1. quel ? 2. quelle sorte de ?
"die Art, en","la sorte, la manière"
"die Weise, n","la manière, la façon"
"die Form, en",la forme
bilden&nbsp;,former
rund,"rond, sphérique"
"der Kreis, e",le cercle
"die Kugel, n","1. la boule, la sphère<br>2. la balle (arme à feu)"
flach,plat
schmal,étroit
breit,large
weit,"1. large, ample, vaste<br>2. loin, éloigné"
eng,"étroit, resserré"
spitz&nbsp;,pointu
gerade,"droit, juste (assez par exemple)"
"messen - misst, mass, hat gemessen",mesurer
"der Mass, e","la mesure (Ex. 1m , 20cm...)"
"die Kleinigkeit, en","la bagatelle, la broutille"
"der (das) Liter, -&nbsp;",le litre
"die Grösse, n","la grandeur, la taille"
"die Länge, n",la longeur
lang,long
kurz,"court, bref"
"der (das) Meter, -",le mètre
"der (das) Zentimeter, -",le centimètre
"der (das) Kilometer, -",le kilomètre
"die Höhe, n","la hauteur, l'altitude"
hoch,haut
niedrig,bas
tief,profond
"wiegen - wiegt, wog, hat gewogen",peser
"das Gewicht, e",le poids
"die Masse, n",la masse
schwer&nbsp;,"lourd, difficile&nbsp;"
unschwer,facile
leicht&nbsp;,"léger, facile"
"das Gramm, e",le gramme
"das Kilo, s",le kilo
"das Pfund, e",<b>LA</b>&nbsp;livre
erschweren,compliquer
erleichtern,faciliter
"die Farbe, n",la couleur
farbig,"coloré, en couleurs"
"der Glanz, /",l'éclat
hell,clair
dunkel,"sombre, foncé, obscur"
"die Dunkelheit, /",l'obscurité
bunt,multicolore
blau,bleu
braun,brun
gelb,jaune
blond,blond
grau,gris
grün,vert
rot,rouge
schwarz,noir
weiß,blanc
fein,fin
glatt,"lisse, glissant"
weich,"mou, tendre"
fest,"ferme, solide"
flüssig,"liquide, fluide"
"die Flüssigkeit, en","1. le liquide, le fluide<br>2. la fluidité"
"vergleichen - vergleicht, verglich, hat verglichen (mit+D)",comparer (à)
"der Vergleich, e",la comparaison
"der Gleiche, die Gleiche, das Gleiche","le, la même (chose)"
"derselbe, dieselbe, dasselbe","le, la même (chose)<br>(pas un nom)"
"gleichen - gleicht, glich, hat geglichen (+D)","ressembler, être semblable (à)&nbsp;"
"die Gleichheit, /",l'égalité
gleich (un-),"pareil, même"
egal /gleich,égal
wie,"comme, de même que"
irgendwie&nbsp;,d'une manière quelconque
"die Ähnlichkeit, en","la ressemblance, la similitude"
so,"1. ainsi, de cette façon 2. si, aussi"
solch-,tel
verwechseln,confondre
"unterscheiden - unterscheidet, unterschied, hat unterschieden","distinguer, différencier"
"der Unterschied, e",la différence
verschieden (von+D),"différent (de), distinct"
ändern (+A),"changer (qc ou de qc), modifier"
sich ändern,changer (intr.)
"die Änderung, en",le changement
ander-,autre
anders,"autrement, différemment"
besonder-,particulier
besonders (im Besonderen),"particulièrement, spécialement, surtout"
"die Fläche, n",la surface
eckig,"carré, anguleux"
krumm,courbe
hohl,creux
"der Umfang, die Umfänge",1. le volume 2. la dimension
zart,"tendre, délicat"
kennzeichnen,caractériser
spezifisch (un-),spécifique
allerlei,toutes sortes de&nbsp;
vielfältig,multiple
verkehrt,"à l'envers, de travers"
"das Quadrat, e",le carré&nbsp;
"das Rechteck, e",le rectangle
rechteckig,rectangulaire
"das Dreieck, e",le triangle
"das Viereck, e",le quadrilatère
"sein - ist, war, gewesen",être
"bestehen - besteht, bestand, hat bestanden (aus+D)","1. exister&nbsp;<br>2. se composer, être fait (de)"
"das Dasein, /&nbsp;<br>die Existenz, en","l'existence, la vie"
"scheinen - scheint, schien, hat geschienen&nbsp;","sembler, paraître"
"der Schein, /","l'apparence, les apparences"
scheinbar&nbsp;,"apparent, en apparence"
"der Zustand, die Zustände","l'état, la condition, la situation"
es gibt (+A),"il y a, il existe"
hier ist (sind),voici
abwesend&nbsp;,Absent
anwesend&nbsp;,présent
irgendwer,quelqu'un
"irgendetwas, irgendwas","quelque chose, n'importe quoi"
"die Sache, n","1. la chose, l'affaire&nbsp;<br>2. la cause"
"das Ding, e",la chose
"das Zeug, /","les choses, le truc, le machin"
"der Gegenstand, die Gegenstände",l'objet
"die Wirklichkeit, en&nbsp;<br>die Realität, en",la réalité
wirklich (-un),réel
"können - kann, konnte, hat gekonnt","pouvoir, savoir"
"die Möglichkeit, en",la possibilité
möglich (-un),possible
ermöglichen,rendre possible
wahrscheinlich (un-),"vraisemblable, probable"
vielleicht,peut-être
eventuell,éventuel
nicht,ne ...pas
gar (durchaus) nicht,ne ...pas du tout
auch nicht,ne ...pas non plus
nicht einmal&nbsp;,"même pas, ne ...pas même"
"die Angelegenheit, en",l'affaire
"die Wahrscheinlichkeit, en",la probabilité
"die Beziehung, en","le relation, rapport"
"es geht - geht, ging, ist gegangen (um +A)",il s'agit de
"zusammen/hängen - hängt zusammen, hing zusammen, hat zusammengehangen (mit+D)","être lié (à), être en rapport"
"der Zusammenhang, die Zusammenhänge","la liaision, le rapport, le contexte"
"der Kontext, e",le contexte
"der Gegensatz, die Gegensätze / der Kontrast, e","l'opposition, le contraste"
entgegengesetzt&nbsp;,opposé
gehören (zu+D),"faire partie (de), appartenir (à)"
gehören (prép + A),avoir sa place
verursachen,"causer, provoquer"
"die Ursache, n",la cause
"die Folge, n",1. la conséquence<br>2. la suite
"das Ergebnis, ses, se<br>das Resultat, e",le résultat
"ab/hängen - hängt ab, hing ab, hat abgehangen (von+D)",dépendre (de)&nbsp;<br>(celui au datif)
abhängig (un-) (von+D),(in)dépendant (de)
ordnen (+A)&nbsp;,"classer, mettre de l'ordre (dans)"
"die Ordnung, /","l'ordre (rangement, classement)"
durcheinander,"pêle-mêle, en désordre"
als,"comme, en tant que, en qualité de&nbsp;"
"betreffen - betrifft, betraf, hat betroffen",concerner
verhältnismäßig,"proportionnellement, relativement"
"sich beziehen - bezieht sich, bezog sich, hat sich bezogen (auf+A)","se rapporter, se référer (à)"
umgekehrt&nbsp;,"inverse, à linverse"
"sich ergeben - ergibt sich, ergab sich, hat sich ergeben","résulter, découler, s'ensuivre (de)"
"an/kommen - kommt an, kam an, ist angekommen (auf+A)",dépendre (de)
"entsprechen - entspricht, entsprach, hat entsprochen (+D)",correspondre (à)
"an/gehen - geht an, ging an, ist angegangen","concerner, regarder"
"die Sekunde, n",la seconde
"die Minute, n",la minute
"die Uhr, en","1. la montre, l'horloge<br>2. l'heure"
"die Viertelstunde, n",le quart d'heure
"der Morgen, -&nbsp;<br>der Vormittag, e","le matin, la matinée&nbsp;"
morgens (vormittags),le matin (adjectif)
"der Mittag, e",le midi
mittags,à midi
"der Nachmittag, e",l'après midi
nachmittags,(durant) l'après midi
"der Abend, e","le soir, la soirée"
abends,le soir (adjectif)
"die Nacht, die Nächte",la nuit (substantif)
nachts,"la nuit, de nuit"
"die Mitternacht, /",minuit
"vor/gehen - geht vor, ging vor, ist vorgegangen",avancer (montre)
"nach/gehen - geht nach, ging nach, ist nachgegangen",retarder (montre)
"die Dämmerung, en","le crépuscule, l'aube"
"das Datum, die Daten",la date
datieren,dater
"der Kalender, -","le calendrier, l'agenda"
"der Termin, e",1. le rendez-vous 2. la date
"der Tag, e&nbsp;",le jour
täglich,"journalier, quotidien"
heute,aujourd'hui
heutig-,"d'aujourd'hui, de ce jour"
heutzutage,de nos jours
gestern,hier (le jour avant aujourd'hui)
vorgestern,avant-hier
morgen,demain
übermorgen,après-demain
"der Wochentag, e",le jour de la semaine
"der Montag, e",lundi
"der Dienstag, e",le mardi
"der Mittwoch, e",le mercredi
"der Donnerstag, e",le jeudi
"der Freitag,e&nbsp;",le vendredi
"der Samstag, e / der Sonnabend, e",le samedi
"der Sonntag, e",le dimanche
sonntags,le dimanche (adj.)
"das Wochenende, n",le week-end
Ostern,pâques
Weihnachten,Noël
"die Woche, n",la semaine
wöchentlich,hebdomadaire
"der Monat, e",le mois
monatlich,mensuel
"der Januar, /",janvier
"der Februar, /",février
"der März, /",mars
"der April, /",avril
"der Mai, /",mai
"der Juni, /",juin
"der Juli, /",juillet
"der August, /",août
"der September, /",septembre
"der Oktober, /",octobre
"der November, /",novembre
"der Dezember, /",décembre
"die Jahreszeit, en <br>die Saison, /",la saison
"der Frühling, e",le printemps
"der Sommer, -",l'été
"der Herbst, e",l'automne
"der Winter, -",l'hiver
"das Jahr, e",l'année
jährlich&nbsp;,annuel
"das Neujahr, /",le nouvel-an
"das Jahrhundert, e",le siècle
"verschieben - verschiebt, verschob, hat verschoben (auf+A)","retarder, reporter, renvoyer (à)"
"die Frist, en",le délai
alltäglich,"quotidien, commun, banal"
"der Werktag,e&nbsp;",le jour ouvrable
"der Feiertag, e",le jour de fête (férié)
"die Himmelfahrt, /",l'Ascension
der Heilige Abend&nbsp;<br>der Heiligabend,la veille de Noël
"der Feierabend, e",1. l'heure de fermeture (d'un commerce par ex.)<br>2. la soirée (après le travail)
"die Zeit, en",le temps
wann ?,quand ?
aktuell (nur Adj.),actuel
"die Gegenwart, /",le présent
jetzt (nun),maintenant
gerade / eben,juste(ment)
gleich / sogleich / sofort,tout de suite
"die Vergangenheit, /",le passé
vorig-,"précédent, passé"
letzt-,"dernier, passé"
damals,"alors, en ce temps-là, à cette époque-là"
vorbei<br>vorüber,"passé, fini"
schon&nbsp;<br>bereits,déjà
vorher&nbsp;<br>zuvor,auparavant
allmählich&nbsp;<br>nach und nach,peu à peu
"die Zukunft, /","le futur, l'avenir"
nächst-,"prochain, suivant"
bald,bientôt
danach,"puis, ensuite"
dann,"puis, ensuite, alors"
da,"1. alors, à ce moment<br>2. là<br>3. comme, puisque (cause)"
nachher&nbsp;<br>hinterher,"ensuite, après"
noch nicht,ne ..pas encore
erst,"ne ...que, seulement"
darauf,"là dessus, ensuite"
"an/fangen - fängt an, fing an, hat angefangen (+A od. mit+D)",commencer (qc)
"der Anfang, die Anfänge","le début, le commencement"
anfangs&nbsp;,"au commencement, tout d'abord"
"beginnen - beginnt, begann, hat begonnen","commencer, débuter"
früh,"1. tôt&nbsp;<br>2. précoce, hâtif"
zuerst&nbsp;<br>zunächst,"d'abord, en premier"
im Voraus,"à l'avance, par avance"
weiter-<br>fort-,particule maquant la continuation
fort/setzen,"poursuivre, continuer"
"die Fortsetzung, en","la suite, la continuation"
auf/höfen (mit+D),"cesser, arrêter (une activité)"
enden,"se terminer, finir (intr.)"
beenden (+A oblig.),terminer (tr.)
"das Ende, n",la fin
endgültig,définitif
endlich,"enfin (satisfaction, soulagement)"
"der Schluss, die Schlüsse","1. la fin, la clôture<br>2. la conclusion"
schließlich,"finalement, en fin de compte"
aus,"fini, terminé"
dauern&nbsp;,durer
"verbringen - verbringt, verbrachte, hat verbracht","passer (+notion de temps, tr.)"
"vergehen - vergeht, verging, ist vergangen","passer (+notion de temps, intr.)"
"bleiben - bleibt, blieb, ist geblieben",rester
langsam&nbsp;,lentement
schnell&nbsp;<br>rasch,vite
seither<br>seitdem,"depuis lors, depuis (adv.)"
warten (auf+A),attendre (qc ou qn)
lang(e),longtemps
schon lange<br>seit langem,depuis longtemps
"der Winter, -",l'hiver
jährlich,annuel
dauern,durer
langsam,lentement
"der Augenblick, e / der Moment, e","l'instant, le moment"
eine Zeitlang&nbsp;,(pendant) quelque temps
"die Periode, n",la période
tagelang&nbsp;,pendant des jours
jahrelang,durant des années
wiederholen,répéter
"die Wiederholung, en",la répétition
wieder,"de nouveau, encore une fois"
"das Mal, e",la fois
diesmal,cette fois-ci
einmal&nbsp;,une fois
manchmal&nbsp;,"quelquefois, parfois"
oft,souvent
häufig,fréquent
meistens / meist,"le plus souvent, généralement"
immer / stets,toujours
jedes Mal,chaque fois
immer noch / noch immer,"encore, toujours"
selten,rare
nicht mehr,ne ...plus
nie,ne ...jamais
noch einmal / noch mal / nochmals,encore une fois
regelmäßig (un-),régulier
"die Gelegenheit, en",l'occasion
"die Reihe, n","le rang, la rangée, le tour"
pünktlich&nbsp;,"ponctuel, exact"
rechtzeitig&nbsp;,à temps
spät&nbsp;,"tard, tardif"
spätestens&nbsp;,au plus tard
"die Verspätung, en",le retard
gleichzeitig,simultané
inzwischen,"pendant ce temps, entre-temps"
plötzlich,"soudain, soudainement, tout à coup"
gegenwärtig,"présent, actuel"
auf der Stelle,sur-le-champ
einst,1. autrefois<br>2. une fois
vorhin,"à l'instant, tout à l'heure (passé)"
nächstens / demnächst,prochainement
unaufhörlich,"incessant, sans cesse"
zuletzt,"en dernier lieu, pour finir"
"die Dauer, /",la durée
"die Weile, n",le moment
je,"jamais (au sens&nbsp;de ""une fois"" Ex. Au-tu jamais été à l'hôpital)"
vielmals,"bien des fois, souvent"
mehrmals,plusieurs fois
gelegentlich,"à l'occasion, occasionnel, occasionnellement"
vorläufig / provisorisch,1. provisoire<br>2. pour le moment
neulich,"récemment, l'autre jour"
"geschehen - geschieht, geschah, ist geschehen (+D)","arriver (à qn),&nbsp; se passer"
passieren (+D),"1. arriver (à qn), se passer<br>2. (haben) passer, franchir"
los sein (ugs.) (mit+D),se passer (avec qn)
"der Lauf, /",le cours
erleben (+A oblig.),"vivre, faire l'expérience (de), éprouver"
"das Erlebnis, ses, se","l'expérience, l'événement (vécu)"
"die Erfahrung, en",l'expérience (vécue)
erfahren (un-),expérimenté
"statt/finden - findet statt, fand statt, hat stattgefunden",avoir lieu
(sich) gewöhnen (an+A),(s') habituer (à)
"die Gewohnheit, en",l'habitude
gewöhnlich (un-),"habituel, ordinaire, d'habitude"
außerordentlich,extraordinaire
"der Zufall, die Zufälle",le hasard
zufällig,"fortuit, par hasard"
sich beeilen,se dépêcher
eilig,"pressé, pressant, à la hâte"
dringend,1. urgent 2. instamment
"entstehen - entsteht, entstand, ist entstanden (aus+D)","se former, prendre naissance, surgir (de)"
"vor/kommen - kommt vor, kam vor, ist vorgekommen (+D)","1. se produire, arriver (à qn)&nbsp;<br>2. sembler"
"das Ereignis, ses, se",l'événement
"der Zwischenfall, die Zwischenfälle",l'incident
die Verhältnisse(Pl.),"les circonstances, les conditions"
"der Umstand, die Umstände",la circonstance
pflegen,"avoir l'habitude, coutume (de)"
gewohnt sein (+A),"être habitué (à), avoir l'habitude (de)"
"der Ort, e","le lieu, l'endroit, la localité"
"der Raum, die Räume","1. l'espace<br>2. la pièce, la salle"
besetzen,occuper
"die Lage, n / die Situation, en","la situation, la position"
wo ?,où ? (sans déplacement)
hier,ici
"sich befinden - befindet sich, befand sich, hat sich befunden",se trouver
"liegen - liegt, lag, hat gelegen","être couché, posé, situé (à plat)"
"stehen - steht, stand,, hat gestanden","être debout, se trouver"
"sitzen - stizt, saß, hat gesessen",être assis
"hängen - hängt, hing, hat gehangen","être suspendu, pendre (intr.)"
dort (sans dépl.) / dorthin (avec dépl.),"là-bas, y"
fern,"lointain, loin"
in der Ferne&nbsp;,"au loin, dans le lointain"
"die Mitte, n",le milieu
"der Rand, die Ränder",1. le bord 2. la marge
vorn(e),devant
hinten,"à l'arrière, derrière"
oben,en haut
unten,en bas
draußen,"dehors, en dehors"
drin(nen),"à l'intérieur (d'un endroit), dedans"
innen,"à l'intérieur (d'un objet), en dedans"
links,à gauche
link-,gauche
rechts&nbsp;,à droite
recht-,droit
daneben,à côté (sans dépl.)
anderswo / anderswohin,ailleurs (sans/avec déplacement )
irgendwo / irgendwohin,quelque part (sans / avec dépl. )
nirgends / nirgendwo,nulle part (sans dépl.)
"verschwinden - verschwindet, verschwand, ist verschwunden (+prép. sans dépl.)",disparaître
überall&nbsp;,partout
"der Norden, /",le nord
nördlich,"du nord, septentrional"
"der Osten, -","l'est, l'orient"
östlich,"de l'est, oriental"
"der Süden, /",le sud
südlich,"du sud, méridional"
"der Westen, /","l'ouest, occident"
westlich,"de l'ouest, occidental"
drüben,de l'autre côté
hinter-,"postérieur, de derrière"
oben-,"supérieur, qui est en haut"
unter-,"inférieur, qui est en bas"
äußer-,extérieur
äußerlich,"extérieur, externe"
inner-,"intérieur, interne"
innerlich,intérieur
vorder-,"antérieur, de devant"
waag(e)recht,horizontal
senkrecht,vertical
"die Richtung, en",la direction
"gehen - geht, ging, ist gegangen",aller
"weg/gehen - weg geht, weg ging, ist weggegangen","s'en aller, partir"
"vorbei/gehen - (e), i, a (an+D)","passer devant, à côté (de)"
"der Schritt, e",le pas
"laufen - läuft, lief, ist gelaufen","1. courir <br>2. (ugs.) aller (à pied)<br>3. fonctionner, marcher"
wohin ?,où ? (avec dépl.)
hin,"particule marquant l'éloignement, la direction"
weg,particule marquant l'éloignement
los-,"préverbe marquant le départ, le détachement"
(sich) entfernen (von+D),"(s')éloigner, enlever (de)"
"die Entfernung, en","l'éloignement, la distance"
vorwärts&nbsp;,en avant
geradeaus,tout droit
"kommen - kommt, kam, ist gekommen",venir
zurück,"particule marquant un mouvement<br>en arrièrre, en retour"
"zurück/kommen - (o), a, o",revenir
rückwarts&nbsp;,"en arrière, à reculons"
um/kehren,rebrousser chemin
woher,d'où ?
her,particule marquant le rapprochement
sich nähern (+D),s'approcher (de)
"die Nähe, /",la proximité
nah,"proche, à proximité de&nbsp;"
"hin und her *gehen - (e), i, a","aller et venir, faire les cent pas"
hinein / herein (ugs.: rein),particule marquant l'entrée
"treten - tritt, trat, ist getreten","1. marcher, poser le pied<br>2. entrer"
"ein/treten - (i), a, e",entrer
"der Eintritt, e",l'entrée
hinauf / herauf&nbsp;,particules marquant un mouvement
"steigen - steigt, stieg, ist gestiegen",monter
hinunter / herunter,particules marquant un mouvement vers le bas
"fallen - fällt, fiel, ist gefallen",tomber
"sinken - sinkt, sank, ist gesunken","1. s'abaisser, s'enfoncer<br>2. couler (bateau)"
rollen,rouler (intr.)
hinaus / heraus,particules marquant un mouvement vers l'extérieur&nbsp;
folgen (+D),suivre
verfolgen,"poursuivre, persécuter"
"fliehen - flieht, floh, ist geflohen (vor + D)","fuir (qn, qc)"
"die Flucht, /",la fuite
(sich) bewegen&nbsp;,"(se) mouvoir, bouger"
"die Bewegung, en",le mouvement
legen,"placer, mettre, poser (à plat)"
stellen,"poser, placer (debout), dresser"
(sich) setzen,"(s')asseoir, placer, mettre"
hängen,"suspendre, pendre"
stecken 1. (in+A) 2. (in+D),"1. mettre dans, introduire<br>2. être dans"
"schieben - schiebt, schob, hat geschoben","pousser, faire glisser"
"(sich) stoßen - stößt, stieß, hat gestoßen","(se) heurter, (se) taper, pousser"
führen,"mener, conduire, guider"
holen (aus+D),aller chercher
"schreiten - schreit, schritt, ist geschritten","marcher (solennellement), faire des pas"
"ziehen - zieht, zog, ist gezogen","partir (pour), se diriger (vers)"
"ein/dringen - dringt ein, drang ein, ist eingedrungen",pénétrer
